Sales Domain.[Sales Std1],Sales Domain.[Sales Std2],Sales Domain.[Sales Std3],Sales Domain.[Sales Std4],Sales Domain.[Sales Std5],Sales Domain.[Sales Std6],Sales Domain.[Ship To]
201,201,201,201,201,201,201
201,300001,300001,300001,300001,300001,300001
201,300001,A300001,A300001,A300001,A300001,A300001
201,300001,A300001,400001,400001,400001,400001
201,300001,A300001,400002,400002,400002,400002
201,300001,A300001,400001,5000001,5000001,5000001
201,300001,A300001,400002,5000002,5000002,5000002
201,300001,A300001,400001,5000001,A5000001,A5000001
201,300001,A300001,400003,400003,400003,400003
201,300001,A300001,400003,500003,500003,500003
