Sales Domain.[Ship To],Item.[Item],Location.[Location],Time.[Partial Week],S/In FCST(GI) Dummy_AP1,S/In FCST(GI) Dummy_AP2,S/In FCST(GI) Dummy_GC,S/In FCST(GI) Dummy_Local
5000002,RF29BB8600QLAA,S001,202522A,0.0,,,
5000002,RF29BB8600QLAA,S001,202522B,0.0,,,
5000003,RF29BB8600QLAA,S001,202522A,0.0,,,
5000003,RF29BB8600QLAA,S001,202522B,0.0,,,
400002,RF29BB8600QLAA,S001,202522A,,0.0,,
400002,RF29BB8600QLAA,S001,202522B,,0.0,,
400003,RF29BB8600QLAA,S001,202522A,,0.0,,
400003,RF29BB8600QLAA,S001,202522B,,0.0,,
300001,RF29BB8600QLAA,S001,202522A,,,0.0,
300001,RF29BB8600QLAA,S001,202522B,,,0.0,
0,RF29BB8600QLAA,S001,202522A,0.0,0.0,,
0,RF29BB8600QLAA,S001,202522B,0.0,0.0,,
